#{"t_start": 1748237572.2546065, "env_id": "None"}
r,l,t
-0.111071,20,0.859888
-0.063194,20,0.883888
-0.138823,20,0.906896
-0.059423,20,0.931896
-0.116829,20,0.956406
-0.083587,20,0.978406
-0.108052,20,1.001408
-0.084214,20,1.024406
-0.124514,20,1.046911
-0.12788,20,1.070917
-0.139807,20,1.095917
-0.101988,20,1.120915
-0.09988,20,1.150483
-0.123454,20,1.174481
-0.096505,20,1.198482
-0.080916,20,1.222482
-0.103206,20,1.246991
-0.100921,20,1.269995
-0.129746,20,1.293996
-0.115696,20,1.319997
-0.082105,20,1.346009
-0.078546,20,1.369156
-0.092253,20,1.395156
-0.121215,20,1.420156
-0.066557,20,1.448243
-0.117385,20,1.473244
-0.103104,20,1.498241
-0.122584,20,1.526244
-0.084721,20,1.551759
-0.121654,20,1.576758
-0.113874,20,1.601756
-0.085758,20,1.629759
-0.101982,20,1.654268
-0.097008,20,1.682268
-0.105013,20,1.71027
-0.140785,20,1.73827
-0.087285,20,1.765656
-0.111783,20,1.800655
-0.12731,20,1.826163
-0.135856,20,1.85528
-0.107431,20,1.887279
-0.118446,20,1.91828
-0.098699,20,1.946282
-0.084207,20,1.973793
-0.118182,20,2.006795
-0.082406,20,2.037795
-0.113422,20,2.066303
-0.110865,20,2.095312
-0.115489,20,2.119304
-0.087629,20,2.148827
-0.135873,20,2.176827
-0.149491,20,2.209827
-0.077825,20,2.234828
-0.085127,20,2.26334
-0.080904,20,2.289343
-0.084785,20,2.31334
-0.126743,20,2.337343
-0.112869,20,2.361369
-0.115929,20,2.385369
-0.144298,20,2.410367
-0.107148,20,2.435374
-0.097967,20,2.457886
-0.076399,20,2.481883
-0.077442,20,2.505883
-0.082212,20,2.530885
-0.095493,20,2.554404
-0.121023,20,2.579403
-0.093652,20,2.603401
-0.141496,20,2.627403
-0.08269,20,2.65092
-0.086235,20,2.674918
-0.106543,20,2.705917
-0.102932,20,2.733926
-0.103129,20,2.75843
-0.104572,20,2.786432
-0.065598,20,2.815432
-0.109084,20,2.840436
-0.116725,20,2.864969
-0.142371,20,2.893173
-0.081703,20,2.918174
-0.081227,20,2.945179
-0.092572,20,2.979696
-0.130691,20,3.006694
-0.100565,20,3.030696
-0.114838,20,3.057223
-0.124954,20,3.084225
-0.093304,20,3.112223
-0.111396,20,3.135231
-0.105852,20,3.161751
-0.057204,20,3.194748
-0.105635,20,3.219751
-0.113859,20,3.245757
-0.106028,20,3.269271
-0.126486,20,3.294268
-0.111021,20,3.319272
-0.101124,20,3.345286
-0.102875,20,3.369803
-0.131692,20,3.394802
-0.084918,20,3.420802
-0.093074,20,3.447809
-0.089156,20,3.47132
-0.100882,20,3.49732
-0.128837,20,4.54107
-0.11088,20,4.56558
-0.104585,20,4.58858
-0.092986,20,4.61258
-0.130083,20,4.634587
-0.122994,20,4.659106
-0.149632,20,4.684103
-0.123776,20,4.707106
-0.118652,20,4.735112
-0.103395,20,4.759625
-0.130546,20,4.783625
-0.105185,20,4.812625
-0.118883,20,4.83663
-0.105114,20,4.861138
-0.118938,20,4.88414
-0.110763,20,4.907657
-0.110694,20,4.936657
-0.087246,20,4.959176
-0.087116,20,4.983173
-0.093431,20,5.007176
-0.10125,20,5.029176
-0.080468,20,5.054693
-0.076911,20,5.079694
-0.107105,20,5.105691
-0.112404,20,5.128691
-0.101414,20,5.153214
-0.111601,20,5.177218
-0.123908,20,5.199215
-0.081436,20,5.223213
-0.096418,20,5.247216
-0.103309,20,5.27173
-0.081873,20,5.295731
-0.122244,20,5.31973
-0.10816,20,5.341735
-0.105004,20,5.366255
-0.098323,20,5.390258
-0.144064,20,5.412255
-0.097037,20,5.436259
-0.120762,20,5.460639
-0.091473,20,5.484631
-0.107483,20,5.51464
-0.130314,20,5.538642
-0.134668,20,5.565159
-0.106411,20,5.587162
-0.129588,20,5.610161
-0.125002,20,5.634169
-0.159473,20,5.656687
-0.126281,20,5.680687
-0.088392,20,5.703687
-0.100451,20,5.726687
-0.107481,20,5.750205
-0.122823,20,5.775204
-0.080068,20,5.800205
-0.123265,20,5.821205
-0.116292,20,5.845215
-0.131294,20,5.869732
-0.106286,20,5.894735
-0.088846,20,5.918733
-0.1009,20,5.942254
-0.101589,20,5.967768
-0.09504,20,5.990768
-0.117244,20,6.015768
-0.091564,20,6.038778
-0.106304,20,6.062289
-0.101059,20,6.085286
-0.122788,20,6.109286
-0.114521,20,6.132287
-0.111605,20,6.156806
-0.111564,20,6.183805
-0.090778,20,6.208807
-0.085465,20,6.234809
-0.088446,20,6.257322
-0.112151,20,6.283319
-0.11238,20,6.308322
-0.083784,20,6.334327
-0.097566,20,6.358843
-0.086115,20,6.383842
-0.077236,20,6.411845
-0.07371,20,6.435846
-0.084234,20,6.46136
-0.145234,20,6.486357
-0.126457,20,6.512357
-0.100614,20,6.538365
-0.150907,20,6.56388
-0.124397,20,6.588878
-0.08167,20,6.613878
-0.114727,20,6.64088
-0.113502,20,6.666401
-0.118798,20,6.6924
-0.082528,20,6.717399
-0.116974,20,6.745407
-0.111946,20,6.768924
-0.126002,20,6.794921
-0.101014,20,6.821923
-0.100451,20,6.850446
-0.10961,20,6.875448
-0.102277,20,6.900445
-0.108461,20,6.924446
-0.109037,20,6.953476
-0.109492,20,6.980477
-0.087454,20,7.007473
-0.125079,20,7.033478
-0.093959,20,8.008205
-0.106815,20,8.032205
-0.145642,20,8.05527
-0.12199,20,8.082269
-0.094643,20,8.109269
-0.100659,20,8.135286
-0.085773,20,8.158804
-0.090743,20,8.185804
-0.075359,20,8.213806
-0.116034,20,8.237814
-0.12377,20,8.26133
-0.11535,20,8.28833
-0.126965,20,8.31333
-0.115728,20,8.339334
-0.099673,20,8.362844
-0.099485,20,8.387845
-0.140361,20,8.416847
-0.134389,20,8.441845
-0.099196,20,8.467363
-0.117045,20,8.492363
-0.076533,20,8.518363
-0.116141,20,8.546372
-0.101415,20,8.569883
-0.099017,20,8.595883
-0.076677,20,8.628883
-0.103267,20,8.654408
-0.108232,20,8.680408
-0.093024,20,8.706407
-0.086847,20,8.734414
-0.061713,20,8.767935
-0.137751,20,8.791934
-0.096018,20,8.817935
-0.123341,20,8.843942
-0.105201,20,8.869455
-0.082268,20,8.894455
-0.078797,20,8.920457
-0.090848,20,8.94746
-0.100308,20,8.973983
-0.147622,20,8.99898
-0.128629,20,9.024498
-0.081209,20,9.051017
-0.072656,20,9.074017
-0.085784,20,9.100019
-0.085026,20,9.126014
-0.077611,20,9.15254
-0.136668,20,9.17854
-0.101308,20,9.202539
-0.08525,20,9.22954
-0.109717,20,9.259051
-0.104702,20,9.283054
-0.04572,20,9.307054
-0.062565,20,9.332054
-0.11564,20,9.360579
-0.104574,20,9.384582
-0.131961,20,9.410579
-0.104344,20,9.43559
-0.132764,20,9.462111
-0.096798,20,9.489108
-0.122655,20,9.513108
-0.064556,20,9.541116
-0.074549,20,9.568632
-0.10368,20,9.59363
-0.109226,20,9.617631
-0.125923,20,9.642639
-0.116092,20,9.668147
-0.084644,20,9.696153
-0.091261,20,9.722152
-0.109874,20,9.745154
-0.144481,20,9.771671
-0.094443,20,9.799668
-0.111154,20,9.828671
-0.094607,20,9.856185
-0.103734,20,9.891186
-0.091389,20,9.922189
-0.114598,20,9.947194
-0.093503,20,9.97571
-0.094876,20,10.009706
-0.086976,20,10.036229
-0.076275,20,10.060754
-0.116864,20,10.090751
-0.085698,20,10.117751
-0.143094,20,10.148757
-0.103733,20,10.176265
-0.091376,20,10.208268
-0.099989,20,10.23827
-0.085755,20,10.269785
-0.119529,20,10.303788
-0.113296,20,10.337794
-0.10528,20,10.362941
-0.105319,20,10.389938
-0.113269,20,10.422939
-0.101359,20,10.452453
-0.079498,20,10.483451
-0.081791,20,10.514451
-0.096949,20,10.540463
-0.101773,20,10.571979
-0.108892,20,10.599979
-0.133632,20,10.634981
-0.122178,20,10.663506
-0.095745,20,10.694504
-0.094768,20,10.724507
-0.100266,20,10.759029
-0.104272,20,10.786029
-0.096277,20,11.928071
-0.091798,20,11.951597
-0.090177,20,11.980597
-0.078952,20,12.006597
-0.083084,20,12.033596
-0.091821,20,12.061124
-0.125471,20,12.09064
-0.117456,20,12.117638
-0.120423,20,12.143647
-0.085644,20,12.170165
-0.107808,20,12.197165
-0.077753,20,12.224166
-0.096249,20,12.24917
-0.113722,20,12.276688
-0.045102,20,12.304688
-0.091448,20,12.330688
-0.082159,20,12.355204
-0.091189,20,12.380204
-0.09221,20,12.406204
-0.094563,20,12.430204
-0.123855,20,12.455723
-0.123202,20,12.480723
-0.088333,20,12.513723
-0.053586,20,12.542731
-0.056101,20,12.567932
-0.089788,20,12.592927
-0.067913,20,12.61993
-0.071257,20,12.645933
-0.123311,20,12.669444
-0.081775,20,12.694444
-0.077117,20,12.728444
-0.075765,20,12.755968
-0.07748,20,12.781969
-0.101503,20,12.81097
-0.098732,20,12.836977
-0.050633,20,12.866496
-0.085798,20,12.892493
-0.082071,20,12.918496
-0.095618,20,12.948503
-0.079833,20,12.974017
-0.118416,20,13.000018
-0.082748,20,13.029018
-0.079781,20,13.066546
-0.114081,20,13.089546
-0.120241,20,13.113061
-0.104888,20,13.137069
-0.114735,20,13.162581
-0.119428,20,13.186583
-0.051418,20,13.210581
-0.100985,20,13.234581
-0.075701,20,13.259104
-0.083882,20,13.285101
-0.134871,20,13.307106
-0.087982,20,13.330104
-0.09223,20,13.356618
-0.0535,20,13.380618
-0.072782,20,13.407615
-0.062192,20,13.429616
-0.093177,20,13.454143
-0.093082,20,13.479143
-0.104786,20,13.504143
-0.111483,20,13.529142
-0.082069,20,13.553662
-0.111222,20,13.581662
-0.114108,20,13.608665
-0.095906,20,13.634662
-0.08212,20,13.661185
-0.096257,20,13.687184
-0.091965,20,13.714185
-0.065296,20,13.739192
-0.123019,20,13.770705
-0.091904,20,13.801705
-0.093524,20,13.828705
-0.07904,20,13.860229
-0.103518,20,13.887229
-0.062188,20,13.915229
-0.085789,20,13.943236
-0.066485,20,13.967747
-0.090709,20,14.018747
-0.093773,20,14.049755
-0.094463,20,14.078271
-0.066464,20,14.106273
-0.068362,20,14.139792
-0.107858,20,14.166312
-0.087431,20,14.193314
-0.065805,20,14.222314
-0.101656,20,14.258832
-0.070341,20,14.287837
-0.094067,20,14.319833
-0.114476,20,14.355358
-0.105826,20,14.381358
-0.081701,20,14.407355
-0.060887,20,14.444362
-0.07015,20,14.475523
-0.119043,20,14.506524
-0.100422,20,14.546531
-0.072292,20,14.584038
-0.079478,20,14.611038
-0.117598,20,14.642043
-0.097314,20,14.672553
-0.12228,20,14.706556
-0.067486,20,14.736556
-0.088896,20,15.782795
-0.107404,20,15.808794
-0.086671,20,15.834795
-0.095674,20,15.861321
-0.067288,20,15.887323
-0.087296,20,15.914321
