#{"t_start": 1748271233.596284, "env_id": "None"}
r,l,t
-18.975011,20,0.852195
-20.848242,20,0.880255
-21.121994,20,0.90629
-20.011273,20,0.93584
-19.673867,20,0.967889
-20.052945,20,0.999964
-19.001476,20,1.201924
-20.224178,20,1.228492
-20.709574,20,1.257581
-20.569707,20,1.286135
-20.719496,20,1.312685
-21.266371,20,1.339229
-19.596884,20,1.419755
-19.174993,20,1.446772
-21.466966,20,1.475071
-20.739046,20,1.503047
-20.25769,20,1.531591
-20.431029,20,1.558125
-21.121398,20,1.585662
-20.087069,20,1.662776
-21.515568,20,1.69129
-20.070105,20,1.718863
-20.103793,20,1.746471
-19.918156,20,1.773574
-21.277389,20,1.801435
-21.077179,20,1.89349
-19.712265,20,1.920434
-21.195181,20,1.947432
-19.757258,20,1.973984
-21.057403,20,2.001525
-20.328393,20,2.028478
-19.996353,20,2.05645
-20.446194,20,2.133927
-19.674197,20,2.159928
-21.165579,20,2.186461
-20.426512,20,2.211909
-20.514116,20,2.239526
-20.728795,20,2.26359
-19.906222,20,2.340477
-20.253682,20,2.369063
-21.006951,20,2.395082
-20.110251,20,2.420411
-19.204571,20,2.447949
-20.73637,20,2.474506
-19.920518,20,2.55129
-20.638332,20,2.577872
-19.982464,20,2.603518
-19.939279,20,2.628845
-20.122424,20,2.656421
-20.430038,20,2.68246
-20.635307,20,2.773893
-19.712826,20,2.849051
-20.436791,20,2.876693
-20.605493,20,2.90347
-20.02258,20,2.930018
-20.348248,20,2.95605
-21.061305,20,2.98361
-20.348096,20,3.059446
-21.073308,20,3.086574
-20.504041,20,3.113681
-20.376446,20,3.1389
-18.946675,20,3.164503
-20.816553,20,3.191469
-20.348931,20,3.218382
-20.347492,20,3.29812
-20.797537,20,3.330661
-19.828643,20,3.356865
-20.244479,20,3.382537
-20.38234,20,3.41001
-19.869849,20,3.437548
-20.867929,20,3.514641
-20.59433,20,3.541693
-19.629722,20,3.568831
-19.950538,20,3.596846
-20.683409,20,3.624913
-20.579579,20,3.658965
-19.701865,20,3.73752
-21.455632,20,3.767684
-20.832175,20,3.794233
-20.539045,20,3.819778
-20.561697,20,3.847479
-19.552883,20,3.875028
-20.49677,20,3.900578
-19.592552,20,3.980109
-19.870899,20,4.006146
-20.664787,20,4.032726
-20.142898,20,4.059913
-19.933566,20,4.08644
-20.535441,20,4.111493
-20.321023,20,4.186769
-21.024522,20,4.212855
-21.957158,20,4.239952
-19.550221,20,4.268519
-20.367809,20,4.295536
-20.640763,20,4.321609
-21.963948,20,4.346739
-21.350037,20,4.424738
-20.388346,20,4.449829
-20.855933,20,4.476921
-20.393113,20,4.504471
-20.085916,20,4.584908
-19.621811,20,4.611457
-20.756525,20,4.687815
-20.747951,20,4.71586
-20.875185,20,4.742409
-20.705112,20,4.769059
-20.153689,20,4.798136
-19.217733,20,4.82418
-20.062676,20,4.903686
-20.592376,20,4.931238
-19.935757,20,4.956271
-20.234389,20,4.984334
-20.590817,20,5.017687
-19.889601,20,5.044305
-20.114167,20,5.069848
-20.270588,20,5.147638
-19.510129,20,5.173707
-20.771403,20,5.19925
-20.575048,20,5.22529
-18.820154,20,5.25184
-19.682233,20,5.278376
-21.48043,20,5.353513
-20.211686,20,5.379629
-20.979468,20,5.404698
-19.935116,20,5.434765
-20.944559,20,5.471562
-20.019469,20,5.501112
-19.844586,20,5.535568
-21.484036,20,5.616118
-19.672929,20,5.650535
-19.751442,20,5.676659
-20.655712,20,5.703732
-19.874529,20,5.73028
-20.432057,20,5.757819
-19.944416,20,5.834509
-19.589964,20,5.863057
-19.403794,20,5.890599
-20.381794,20,5.916631
-20.614437,20,5.94318
-20.210477,20,5.971204
-21.445261,20,6.046419
-19.788871,20,6.075484
-20.632785,20,6.102688
-20.752324,20,6.12922
-20.207049,20,6.159775
-19.927486,20,6.188308
-20.114672,20,6.216363
-20.444758,20,6.29511
-20.564973,20,6.323804
-20.988754,20,6.351359
-20.583024,20,6.443418
-21.1274,20,6.47241
-20.476437,20,6.502385
-20.885082,20,6.579068
-20.038728,20,6.607698
-21.234213,20,6.636866
-20.075982,20,6.665922
-20.327028,20,6.693397
-20.194328,20,6.725022
-20.880562,20,6.755494
-20.025932,20,6.84025
-20.37733,20,6.869295
-21.529532,20,6.89884
-19.715455,20,6.927449
-19.53413,20,6.957491
-21.548884,20,6.985611
-19.808469,20,7.070143
-21.590789,20,7.097678
-19.928804,20,7.124744
-21.374218,20,7.154815
-20.095033,20,7.185892
-20.023911,20,7.214469
-22.568296,20,7.294674
-21.035942,20,7.32622
-20.194848,20,7.356767
-20.310604,20,7.396645
-20.655478,20,7.425752
-19.615397,20,7.455939
-19.130177,20,7.488499
-20.12394,20,7.575212
-19.995978,20,7.605939
-20.522162,20,7.637487
-19.665335,20,7.666626
-20.628958,20,7.700811
-20.249485,20,7.728901
-19.863611,20,7.817499
-20.367509,20,7.847623
-19.66692,20,7.876768
-21.062561,20,7.907866
-20.166652,20,7.940472
-20.798084,20,7.973521
-20.067414,20,8.008701
-20.34313,20,8.092976
-20.913359,20,8.126524
-21.154136,20,8.158296
-20.677894,20,8.187505
-20.134408,20,8.220561
-21.129691,20,8.251719
-19.596225,20,8.339779
-19.788127,20,8.369982
-21.069427,20,8.46158
-20.275561,20,8.493716
-22.068909,20,8.523784
-19.146888,20,8.5566
-19.376937,20,8.638741
-20.462487,20,8.67245
-20.275015,20,8.701546
-20.082828,20,8.731691
-20.819897,20,8.765444
-19.725247,20,8.794677
-19.647837,20,8.82386
-19.570113,20,8.917411
-20.120723,20,8.950745
-20.590142,20,8.993246
-20.57727,20,9.023825
-20.022722,20,9.055938
-20.60388,20,9.090154
-20.582403,20,9.184731
-21.013803,20,9.216481
-22.058389,20,9.247555
-19.708765,20,9.278675
-19.996095,20,9.314183
-20.041831,20,9.344744
-20.317948,20,9.376855
-19.912313,20,9.464299
-20.234905,20,9.504873
-21.615674,20,9.53889
-21.712666,20,9.569464
-21.302573,20,9.602242
-20.829006,20,9.636792
-20.120011,20,9.724854
-21.230054,20,9.75891
-19.838665,20,9.804806
-20.396582,20,9.842866
-20.522308,20,9.876451
-21.374081,20,9.907623
-20.879739,20,10.002419
-20.294517,20,10.035642
-19.611758,20,10.070865
-19.696316,20,10.101467
-20.320313,20,10.133595
-20.140407,20,10.167759
-20.795379,20,10.197413
-19.407172,20,10.289172
-19.118208,20,10.321724
-20.520663,20,10.353792
-20.366927,20,10.38756
-20.726602,20,10.418179
-21.486174,20,10.450739
-20.424164,20,10.545958
-20.770694,20,10.652652
-20.913242,20,10.689958
-20.238961,20,10.725504
-20.140311,20,10.757583
-20.152712,20,10.792661
-20.271143,20,10.827554
-19.974512,20,10.920434
-19.560095,20,10.952541
-20.397219,20,10.986742
-21.222989,20,11.021797
-20.218114,20,11.053902
-21.775119,20,11.084495
-20.702489,20,11.179424
-19.337946,20,11.211461
-20.781599,20,11.247514
-20.582775,20,11.278584
-20.515079,20,11.312139
-20.367485,20,11.347683
-20.572484,20,11.440273
-20.203479,20,11.473325
-20.315483,20,11.504882
-19.046611,20,11.538453
-19.746116,20,11.570527
-20.50032,20,11.619836
-20.120784,20,11.654667
-20.393174,20,11.756581
-20.434256,20,11.788772
-20.393593,20,11.825817
-20.102023,20,11.860392
-20.470382,20,11.893974
-22.595566,20,11.9266
-20.855068,20,12.030384
-20.451467,20,12.062923
-21.183572,20,12.096629
-20.790137,20,12.129944
-19.615538,20,12.162034
-20.311652,20,12.195097
-20.814934,20,12.227641
-20.151357,20,12.325704
-20.782386,20,12.35551
-20.47763,20,12.387603
-21.526984,20,12.422677
-20.51621,20,12.452823
-20.374772,20,12.483882
-21.907822,20,12.578781
-20.365397,20,12.611368
-20.381654,20,12.646942
-21.24874,20,12.676872
-20.653466,20,12.710951
-20.156138,20,12.743404
-19.626854,20,12.895277
-19.545699,20,12.935043
-19.78228,20,12.967614
-21.304249,20,12.998876
-20.5571,20,13.033932
-19.976926,20,13.066177
-19.967544,20,13.097785
-20.016378,20,13.197461
-19.86718,20,13.229887
-20.071506,20,13.265471
-20.490395,20,13.296572
-20.663794,20,13.327703
-20.42424,20,13.362267
-20.40545,20,13.456016
-19.707872,20,13.490349
-21.075961,20,13.521928
-20.191938,20,13.555441
-21.079116,20,13.588292
-19.991684,20,13.625845
-20.308957,20,13.663567
-20.209961,20,13.758935
-20.438365,20,13.795035
-20.684868,20,13.828846
-19.703258,20,13.860425
-19.728334,20,13.894683
-20.402237,20,13.933897
-20.201523,20,14.028602
-20.175452,20,14.062784
-21.251995,20,14.096453
-19.145847,20,14.131839
-20.381329,20,14.163598
-20.920205,20,14.198205
-20.66336,20,14.291404
-20.460465,20,14.324686
-20.637316,20,14.361548
-19.117187,20,14.392992
-20.423193,20,14.427574
-19.880375,20,14.461267
-18.944424,20,14.492585
-20.666888,20,14.588332
-19.316098,20,14.622915
-21.805831,20,14.65622
-19.672481,20,14.689418
-19.358298,20,14.721988
-20.849606,20,14.759279
-19.069007,20,14.849665
-19.120575,20,14.885903
-20.684903,20,14.917983
-21.217661,20,14.950573
-19.642568,20,14.986686
-19.423319,20,15.083982
-20.539242,20,15.117563
