#{"t_start": 1748318511.7280183, "env_id": "None"}
r,l,t
-0.011347,20,0.805361
-0.00994,20,0.829909
-0.011696,20,0.854518
-0.011592,20,0.876717
-0.009789,20,0.899894
-0.011011,20,0.922564
-0.009576,20,0.946673
-0.010419,20,0.971789
-0.00879,20,0.993848
-0.009673,20,1.016968
-0.010243,20,1.041654
-0.011929,20,1.065727
-0.01226,20,1.088758
-0.010469,20,1.111788
-0.010436,20,1.135845
-0.011982,20,1.160722
-0.006989,20,1.184814
-0.009776,20,1.207968
-0.009751,20,1.23155
-0.010339,20,1.256416
-0.009004,20,1.28045
-0.007695,20,1.30599
-0.012321,20,1.33455
-0.011117,20,1.358645
-0.008285,20,1.384185
-0.012001,20,1.408231
-0.0123,20,1.431769
-0.008667,20,1.455314
-0.008638,20,1.481355
-0.011682,20,1.505477
-0.010893,20,1.530023
-0.013289,20,1.553562
-0.011783,20,1.579607
-0.010063,20,1.60264
-0.011653,20,1.626721
-0.009508,20,1.650755
-0.011468,20,1.673788
-0.011923,20,1.698871
-0.010447,20,1.72242
-0.005921,20,1.746069
-0.0106,20,1.769736
-0.013194,20,1.794281
-0.010335,20,1.817877
-0.013899,20,1.84243
-0.011143,20,1.86651
-0.010441,20,1.891551
-0.011209,20,1.916651
-0.009512,20,1.939723
-0.006615,20,1.965297
-0.010638,20,1.990975
-0.012608,20,2.015579
-0.010575,20,2.039644
-0.013022,20,2.062867
-0.010371,20,2.086012
-0.010106,20,2.111038
-0.010771,20,2.134079
-0.008226,20,2.158121
-0.011667,20,2.182153
-0.009773,20,2.204696
-0.008221,20,2.230825
-0.006869,20,2.254886
-0.011545,20,2.278922
-0.012026,20,2.302954
-0.009454,20,2.329
-0.010981,20,2.352601
-0.012572,20,2.378148
-0.010325,20,2.401178
-0.009977,20,2.426726
-0.009925,20,2.449758
-0.008432,20,2.472789
-0.011541,20,2.496336
-0.007936,20,2.519367
-0.008218,20,2.543903
-0.012771,20,2.566945
-0.006285,20,2.589976
-0.012531,20,2.613512
-0.013132,20,2.638547
-0.009023,20,2.662628
-0.004999,20,2.685787
-0.01128,20,2.709919
-0.011687,20,2.732564
-0.010795,20,2.756958
-0.010123,20,2.780505
-0.009688,20,2.803682
-0.012729,20,2.825825
-0.009516,20,2.848877
-0.006789,20,2.87191
-0.011086,20,2.897464
-0.007662,20,2.919497
-0.010061,20,2.94253
-0.01223,20,2.966615
-0.007467,20,2.989802
-0.009153,20,3.012869
-0.006611,20,3.035485
-0.00764,20,3.057525
-0.010306,20,3.082859
-0.008882,20,3.106514
-0.008585,20,3.129034
-0.011065,20,3.151587
-0.01115,20,3.175629
-0.009386,20,3.199784
-0.009041,20,3.223843
-0.009757,20,4.291718
-0.007517,20,4.315263
-0.007741,20,4.339808
-0.007719,20,4.363844
-0.009495,20,4.387395
-0.012551,20,4.410429
-0.009003,20,4.43397
-0.006883,20,4.457659
-0.010326,20,4.482749
-0.009391,20,4.504901
-0.01017,20,4.527048
-0.008008,20,4.551611
-0.011008,20,4.573671
-0.012896,20,4.597954
-0.007606,20,4.620486
-0.011227,20,4.642531
-0.011405,20,4.66544
-0.005561,20,4.688483
-0.011222,20,4.711512
-0.012402,20,4.734564
-0.011632,20,4.756601
-0.011372,20,4.780964
-0.00735,20,4.805574
-0.010086,20,4.828387
-0.008204,20,4.851955
-0.010701,20,4.875505
-0.009436,20,4.899665
-0.007049,20,4.921762
-0.006956,20,4.943787
-0.011782,20,4.966855
-0.008529,20,4.990402
-0.010317,20,5.013457
-0.009127,20,5.036574
-0.008683,20,5.058646
-0.012872,20,5.080682
-0.011417,20,5.105224
-0.00886,20,5.127761
-0.006296,20,5.150792
-0.012853,20,5.172824
-0.011276,20,5.197371
-0.010471,20,5.220401
-0.010618,20,5.241937
-0.008924,20,5.264478
-0.01005,20,5.287516
-0.009547,20,5.310534
-0.010763,20,5.334809
-0.010998,20,5.357898
-0.005815,20,5.380505
-0.009052,20,5.404928
-0.012243,20,5.428959
-0.006695,20,5.451491
-0.008732,20,5.473602
-0.010379,20,5.495699
-0.01107,20,5.51874
-0.010922,20,5.541867
-0.010351,20,5.564439
-0.013223,20,5.58653
-0.007141,20,5.608586
-0.008669,20,5.632698
-0.010759,20,5.655732
-0.010011,20,5.67878
-0.008432,20,5.700843
-0.011342,20,5.724143
-0.014014,20,5.748047
-0.010197,20,5.772071
-0.010808,20,5.794609
-0.010742,20,5.81664
-0.008546,20,5.839681
-0.00893,20,5.864208
-0.007738,20,5.887237
-0.011073,20,5.909261
-0.013324,20,5.931797
-0.008319,20,5.956329
-0.010306,20,5.980351
-0.011788,20,6.002375
-0.01233,20,6.024915
-0.015063,20,6.048455
-0.008825,20,6.071478
-0.011398,20,6.09501
-0.00848,20,6.118028
-0.009751,20,6.13957
-0.008605,20,6.163508
-0.00959,20,6.187552
-0.008808,20,6.209569
-0.013264,20,6.232108
-0.010924,20,6.254387
-0.006683,20,6.27941
-0.008139,20,6.302429
-0.009484,20,6.325969
-0.006864,20,6.347432
-0.010491,20,6.371459
-0.013798,20,6.394988
-0.009026,20,6.418015
-0.008669,20,6.440571
-0.011777,20,6.462589
-0.010737,20,6.487129
-0.007,20,6.512006
-0.011794,20,6.533994
-0.009693,20,6.556021
-0.01093,20,6.578633
-0.007555,20,6.602462
-0.008392,20,6.626512
-0.007419,20,7.537669
-0.008956,20,7.564575
-0.009171,20,7.588612
-0.010775,20,7.612643
-0.007246,20,7.636694
-0.012547,20,7.661725
-0.01073,20,7.687272
-0.009267,20,7.711304
-0.012522,20,7.735352
-0.009446,20,7.759995
-0.009613,20,7.786672
-0.010509,20,7.811745
-0.011161,20,7.835954
-0.011402,20,7.861508
-0.009902,20,7.88757
-0.008205,20,7.912612
-0.013233,20,7.935657
-0.006661,20,7.959688
-0.007177,20,7.986733
-0.009386,20,8.011762
-0.010831,20,8.035815
-0.009455,20,8.059847
-0.010057,20,8.085382
-0.011623,20,8.112418
-0.008665,20,8.138471
-0.010382,20,8.164006
-0.009516,20,8.190046
-0.011548,20,8.219593
-0.008775,20,8.24464
-0.009001,20,8.269677
-0.010685,20,8.298769
-0.011427,20,8.328886
-0.013199,20,8.356536
-0.013894,20,8.383633
-0.010734,20,8.411241
-0.006531,20,8.441294
-0.012753,20,8.467842
-0.010779,20,8.495383
-0.011696,20,8.522957
-0.009766,20,8.552752
-0.00894,20,8.578857
-0.007949,20,8.604969
-0.009561,20,8.634629
-0.007256,20,8.664169
-0.008795,20,8.690216
-0.010127,20,8.717766
-0.011851,20,8.747821
-0.00621,20,8.775366
-0.011058,20,8.802406
-0.010773,20,8.830962
-0.00935,20,8.860528
-0.011863,20,8.887673
-0.009417,20,8.913708
-0.010446,20,8.940893
-0.012917,20,8.970992
-0.013853,20,8.998067
-0.010805,20,9.025611
-0.013014,20,9.053662
-0.010816,20,9.084212
-0.009327,20,9.111258
-0.013864,20,9.137315
-0.009028,20,9.164854
-0.011784,20,9.194397
-0.009284,20,9.221442
-0.012216,20,9.247499
-0.009854,20,9.278299
-0.011951,20,9.305077
-0.012233,20,9.331735
-0.011764,20,9.362388
-0.011137,20,9.391904
-0.008938,20,9.4213
-0.01138,20,9.451213
-0.011882,20,9.481732
-0.011582,20,9.507909
-0.008957,20,9.534951
-0.007577,20,9.561155
-0.013496,20,9.589606
-0.009772,20,9.616019
-0.012184,20,9.642566
-0.009039,20,9.668808
-0.012614,20,9.696366
-0.007219,20,9.722389
-0.010154,20,9.749418
-0.00782,20,9.775943
-0.01041,20,9.805033
-0.009367,20,9.832191
-0.010095,20,9.858922
-0.009693,20,9.886432
-0.006438,20,9.915452
-0.009762,20,9.94351
-0.010763,20,9.970062
-0.010575,20,9.995861
-0.009029,20,10.024397
-0.008864,20,10.050715
-0.013138,20,10.076916
-0.007003,20,10.10471
-0.012088,20,10.13433
-0.009669,20,10.160863
-0.00942,20,10.187406
-0.00928,20,10.215773
-0.011549,20,10.242591
-0.007645,20,10.2687
-0.00996,20,10.296265
-0.013745,20,11.409721
-0.011434,20,11.440003
-0.011392,20,11.467655
-0.010973,20,11.495819
-0.01144,20,11.521838
