#{"t_start": 1748265526.3846576, "env_id": "None"}
r,l,t
-629.463701,200,1.024174
-341.473799,200,1.194171
-250.935193,200,1.367686
-231.435773,200,1.547657
-593.614293,200,1.716588
-208.390147,200,2.51128
-225.553888,200,2.696621
-212.085211,200,2.879657
-292.113883,200,3.059706
-201.115985,200,3.23631
-178.49518,200,3.863893
-199.288504,200,4.043482
-174.891508,200,4.238545
-240.153015,200,4.420105
-234.611452,200,4.601644
-138.923539,200,5.233338
-123.144102,200,5.417061
-210.174407,200,5.599577
-140.463242,200,5.78113
-184.697703,200,5.961701
-151.128655,200,6.603548
-162.118134,200,6.788064
-157.410241,200,6.973095
-178.771059,200,7.161053
-152.674916,200,7.351589
-139.441348,200,8.03053
-157.98177,200,8.228567
-189.727731,200,8.439896
-190.748563,200,8.636925
-141.200566,200,8.84528
-131.668131,200,9.569443
-147.225363,200,9.773486
-162.69208,200,9.982537
-182.261488,200,10.181575
-128.062083,200,10.394116
-124.716585,200,11.090934
-123.419323,200,11.309109
-171.085531,200,11.558641
-157.769302,200,11.807743
-143.558417,200,12.075778
-160.166759,200,12.931552
-147.15995,200,13.144589
-186.716994,200,13.326635
-129.090815,200,13.5152
-169.481293,200,13.716233
-183.506165,200,13.912276
-203.044463,200,14.58402
-165.980811,200,14.759063
-154.150998,200,14.943106
-164.419011,200,15.126129
-134.309197,200,15.357749
-144.502505,200,16.048532
-138.445688,200,16.235574
-179.20359,200,16.427669
-192.433949,200,16.613221
-106.950615,200,16.817903
-170.349084,200,17.507696
-139.168517,200,17.748258
-218.451197,200,17.96031
-135.525992,200,18.176365
-142.678286,200,18.377407
-179.203903,200,19.042328
-101.240131,200,19.250941
-110.877089,200,19.452987
-112.399198,200,19.660143
-111.837411,200,19.860201
-117.159937,200,20.520858
-117.787753,200,20.764415
-130.192488,200,20.989457
-149.019132,200,21.190499
-147.691588,200,21.390547
-126.053076,200,22.047179
-155.568081,200,22.243229
-146.324125,200,22.446264
-152.500371,200,22.657943
-169.77517,200,22.902168
-150.106181,200,23.57148
-131.949725,200,23.776024
-160.306818,200,23.982427
-165.965284,200,24.191457
-111.713315,200,24.422629
-124.961216,200,25.205826
-124.138901,200,25.385275
-137.884207,200,25.567423
-129.515117,200,25.763001
-165.818758,200,25.946053
-133.715332,200,26.120553
-139.147355,200,26.765522
-147.721488,200,26.967564
-132.890235,200,27.188614
-162.863234,200,27.397672
-118.631438,200,27.604712
-125.569852,200,28.260871
-161.491618,200,28.444569
-147.400002,200,28.645609
-125.109253,200,28.833163
-121.149714,200,29.017216
-120.401808,200,29.652347
-170.802366,200,29.853905
-159.573046,200,30.058115
-181.34805,200,30.778803
-136.591215,200,30.961999
-261.048644,200,31.695013
-177.807643,200,31.899256
-105.035047,200,32.103903
-113.451693,200,32.311163
-166.018813,200,32.508205
-130.346684,200,33.18336
-103.641833,200,33.391037
-160.804638,200,33.617571
-137.707673,200,33.836602
-167.098841,200,34.036622
-163.959024,200,34.681061
-174.63639,200,34.884091
-155.890483,200,35.087641
-120.352184,200,35.292671
-128.582414,200,35.500711
-170.049758,200,36.201429
-137.4455,200,36.399428
-104.319519,200,36.60047
-110.448159,200,36.800512
-125.008806,200,37.000075
-212.077917,200,37.656289
-131.489919,200,37.860321
-139.306209,200,38.051365
-143.450739,200,38.271389
-149.059425,200,38.477086
-158.065538,200,38.694124
-163.824882,200,39.358806
-138.925609,200,39.54883
-130.833113,200,39.73752
-182.031516,200,39.922553
-123.759241,200,40.108598
-134.24803,200,40.847761
-121.270019,200,41.060804
-133.560704,200,41.267357
-169.369291,200,41.4734
-147.765573,200,41.662475
-111.306228,200,42.351464
-145.308864,200,42.559945
-188.049641,200,42.780485
-148.490703,200,43.037055
-141.803248,200,43.251107
